Student_ID,Institution_Type,AISHE_Code,State,Academic_Year,District,Age,Gender,Area_Type,Social_Category,Education_Level,Program,Affiliated_University,College_Type,Mother_Education,Father_Education,Family_Income_Monthly,Medium_of_Instruction,Attendance_Percentage,Current_Academic_Score,Previous_Year_Score,First_Semester_Grade,Second_Semester_Grade,Fee_Payment_Status,Scholarship_Status,Financial_Assistance,Disciplinary_Records,Extracurricular_Participation,Library_Usage,Risk_Level,Institution_Code,Year,Data_Source_Year,Primary_Sources
RJC00011,College,C-21395,Rajasthan,2024-25,Jaipur,25,Female,Urban,General,Undergraduate,Bachelor of Arts (BA),"University of Rajasthan, Jaipur",Government College,Upper_Primary,Higher_Secondary,Below_5000,English,84.05087101296304,44.7,46.78170122,52.99881388,47.11318695,Pending,No,Received,No,Active,Occasional,Medium_Risk,C-21395,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00012,College,C-87397,Rajasthan,2024-25,Dausa,22,Female,Rural,OBC,Undergraduate,Master of Commerce (MCom),"National Law University, Jodhpur",Private College,Illiterate,Upper_Primary,5000-10000,Hindi,77.23854502294145,81.8,89.76548565,77.71908581,83.29127063,Up_to_Date,Yes,Received,No,Limited,Regular,Low_Risk,C-87397,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00013,College,C-65302,Rajasthan,2024-25,Nagaur,18,Female,Urban,General,Undergraduate,Bachelor of Arts (BA),"Manipal University, Jaipur",Private College,Literate_No_Formal,Secondary,20000-50000,English,77.94803425392566,77.4,75.33377028,78.4906874,77.60636277,Pending,No,Received,No,Active,Regular,Medium_Risk,C-65302,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00014,College,C-14165,Rajasthan,2024-25,Jaipur,23,Male,Rural,OBC,Undergraduate,Bachelor of Commerce (BCom),"Jai Narain Vyas University, Jodhpur",Private College,Upper_Primary,Literate_No_Formal,5000-10000,Hindi,98.46632783330664,76.3,76.94389142,78.06651387,72.44660513,Up_to_Date,No,Not_Received,No,Limited,Regular,Low_Risk,C-14165,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00015,College,C-13905,Rajasthan,2024-25,Jaipur,22,Male,Urban,General,Undergraduate,Master of Science (MSc),"Maharaja Ganga Singh University, Bikaner",Government College,Illiterate,Secondary,10000-20000,Regional_Language,100.0,62.6,62.51447002,64.84192043,62.39256665,Pending,No,Received,No,Active,Regular,Medium_Risk,C-13905,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00016,College,C-22280,Rajasthan,2024-25,Jaipur,20,Female,Urban,General,Undergraduate,Bachelor of Education (BEd),"Amity University, Jaipur",Private College,Secondary,Higher_Secondary,10000-20000,English,76.1566016558197,71.2,70.21442805,69.62454604,68.13244325,Up_to_Date,Yes,Received,Yes,Active,Occasional,Low_Risk,C-22280,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00017,College,C-38657,Rajasthan,2024-25,Jodhpur,20,Female,Rural,General,Postgraduate,Master of Technology (MTech),"Amity University, Jaipur",Private College,Upper_Primary,Upper_Primary,10000-20000,English,86.07491031592669,77.7,67.9852589,85.38830039,75.8859026,Up_to_Date,Yes,Not_Received,No,Active,Regular,Low_Risk,C-38657,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00018,College,C-40495,Rajasthan,2024-25,Ajmer,19,Female,Rural,General,Postgraduate,Master of Science (MSc),"Jai Narain Vyas University, Jodhpur",Private College,Secondary,Secondary,5000-10000,English,82.06924564652364,88.0,95.86755681,76.6617791,93.04979353,Up_to_Date,No,Not_Received,No,Active,Regular,Low_Risk,C-40495,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00019,College,C-76237,Rajasthan,2024-25,Kota,18,Female,Rural,SC,Undergraduate,Master of Technology (MTech),"Maharana Pratap University of Agriculture & Technology, Udaipur",Private College,Graduate,Upper_Primary,10000-20000,English,79.62408530107419,94.3,95.66156295,91.77321859,95.40530338,Pending,Yes,Not_Received,No,Active,Regular,Medium_Risk,C-76237,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00020,College,C-88907,Rajasthan,2024-25,Jodhpur,19,Female,Rural,SC,Undergraduate,Bachelor of Arts (BA),"University of Rajasthan, Jaipur",Private College,Graduate,Higher_Secondary,5000-10000,Hindi,97.30591954074646,95.0,97.15905192,97.6875844,98.65970832,Pending,No,Not_Received,No,Active,Occasional,Low_Risk,C-88907,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00021,College,C-13478,Rajasthan,2024-25,Udaipur,22,Male,Rural,OBC,Undergraduate,Bachelor of Science (BSc),"University of Rajasthan, Jaipur",Self-Financing College,Graduate,Upper_Primary,Below_5000,English,88.62464438500331,79.6,72.14792297,82.34334887,78.20878896,Pending,No,Received,No,Active,Regular,Medium_Risk,C-13478,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00022,College,C-83563,Rajasthan,2024-25,Jaipur,18,Male,Rural,General,Undergraduate,Bachelor of Science (BSc),"Amity University, Jaipur",Private College,Literate_No_Formal,Higher_Secondary,Above_50000,Hindi,99.59350580642705,95.0,90.32623682,100.0,92.94789593,Up_to_Date,No,Not_Received,No,Active,Regular,Low_Risk,C-83563,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00023,College,C-36062,Rajasthan,2024-25,Jodhpur,19,Female,Urban,General,Undergraduate,Bachelor of Science (BSc),"Manipal University, Jaipur",Government College,Illiterate,Higher_Secondary,Below_5000,English,97.25086223278592,83.6,81.19092642,90.78935236,76.67910481,Pending,Yes,Received,No,Limited,Regular,Medium_Risk,C-36062,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00024,College,C-95181,Rajasthan,2024-25,Jodhpur,19,Female,Urban,General,Postgraduate,Bachelor of Commerce (BCom),"Manipal University, Jaipur",Government Aided College,Primary,Upper_Primary,Below_5000,English,69.74370561803373,80.3,67.02700245,78.58675025,78.07978032,Pending,Yes,Received,No,Active,Regular,Medium_Risk,C-95181,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00025,College,C-81426,Rajasthan,2024-25,Kota,20,Male,Rural,General,Undergraduate,Bachelor of Technology (BTech),"University of Rajasthan, Jaipur",Private College,Higher_Secondary,Literate_No_Formal,20000-50000,English,88.24041061655043,82.8,68.2957254,90.59922746,62.87331267,Pending,Yes,Not_Received,No,Active,Regular,Low_Risk,C-81426,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00026,College,C-64987,Rajasthan,2024-25,Bhilwara,23,Female,Urban,ST,Postgraduate,Bachelor of Arts (BA),"Amity University, Jaipur",Government College,Graduate,Upper_Primary,5000-10000,Hindi,94.56738341613892,95.0,89.19401655,90.71574954,91.4586682,Up_to_Date,No,Not_Received,No,Limited,Regular,Low_Risk,C-64987,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00027,College,C-38893,Rajasthan,2024-25,Jaipur,19,Male,Rural,General,Undergraduate,Master of Arts (MA),"Maharaja Ganga Singh University, Bikaner",Private College,Higher_Secondary,Higher_Secondary,10000-20000,English,95.2659740033463,91.5,94.68016613,97.0853243,91.00875494,Pending,Yes,Not_Received,No,Active,Occasional,Low_Risk,C-38893,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00028,College,C-68878,Rajasthan,2024-25,Kota,19,Female,Urban,OBC,Undergraduate,Bachelor of Arts (BA),"Mohan Lal Sukhadia University, Udaipur",Private College,Illiterate,Literate_No_Formal,5000-10000,English,98.66729961974322,79.8,73.57490088,90.66313487,83.18204193,Pending,No,Not_Received,No,Active,Occasional,Low_Risk,C-68878,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00029,College,C-87236,Rajasthan,2024-25,Ajmer,21,Male,Rural,General,Undergraduate,Bachelor of Science (BSc),"Maharana Pratap University of Agriculture & Technology, Udaipur",Government Aided College,Graduate,Upper_Primary,5000-10000,Hindi,86.00585038467251,83.9,74.74955842,91.18966464,82.28793273,Pending,Yes,Not_Received,No,Active,Regular,Low_Risk,C-87236,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00030,College,C-46463,Rajasthan,2024-25,Jaipur,20,Male,Urban,General,Undergraduate,Bachelor of Commerce (BCom),"University of Rajasthan, Jaipur",Private College,Primary,Higher_Secondary,5000-10000,English,77.8019610185358,77.1,69.58251477,77.7346223,79.18604125,Pending,No,Not_Received,No,Active,Occasional,Medium_Risk,C-46463,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00031,College,C-10851,Rajasthan,2024-25,Udaipur,19,Female,Urban,OBC,Undergraduate,Master of Science (MSc),"Manipal University, Jaipur",Private College,Illiterate,Primary,5000-10000,Hindi,72.57943407791771,85.9,81.25726061,83.90932737,72.82126803,Up_to_Date,Yes,Not_Received,No,Active,Occasional,Low_Risk,C-10851,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00032,College,C-30926,Rajasthan,2024-25,Jaipur,20,Male,Urban,OBC,Undergraduate,Master of Arts (MA),"Rajasthan Technical University, Kota",Private College,Primary,Secondary,5000-10000,English,93.33602016012853,73.8,69.9691283,64.62845222,73.45897889,Up_to_Date,Yes,Received,No,Active,Occasional,Low_Risk,C-30926,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00033,College,C-65392,Rajasthan,2024-25,Jaipur,18,Female,Urban,General,Undergraduate,Bachelor of Technology (BTech),"University of Rajasthan, Jaipur",Private College,Illiterate,Literate_No_Formal,10000-20000,Hindi,100.0,87.6,98.0,89.46323783,77.52298324,Up_to_Date,No,Not_Received,No,Active,Regular,Low_Risk,C-65392,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00034,College,C-54597,Rajasthan,2024-25,Churu,18,Female,Rural,General,Diploma,Bachelor of Arts (BA),"University of Rajasthan, Jaipur",Private College,Upper_Primary,Illiterate,5000-10000,English,97.96282498710696,92.7,98.0,86.00869663,85.45017891,Up_to_Date,Yes,Not_Received,No,Limited,Regular,Low_Risk,C-54597,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00035,College,C-46421,Rajasthan,2024-25,Dausa,20,Female,Urban,OBC,Undergraduate,Bachelor of Technology (BTech),"University of Rajasthan, Jaipur",Private College,Primary,Higher_Secondary,20000-50000,Hindi,94.25589270884475,88.4,95.5981929,83.64119202,87.27700671,Pending,No,Not_Received,No,Limited,Occasional,Low_Risk,C-46421,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00036,College,C-30379,Rajasthan,2024-25,Pali,19,Male,Rural,General,Diploma,Bachelor of Arts (BA),"University of Rajasthan, Jaipur",Private College,Upper_Primary,Illiterate,Below_5000,Hindi,75.8940209372033,95.0,98.0,87.8555252,100.0,Pending,No,Not_Received,No,Active,Occasional,Medium_Risk,C-30379,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00037,College,C-38221,Rajasthan,2024-25,Jodhpur,23,Male,Rural,General,Diploma,Bachelor of Science (BSc),"Rajasthan Technical University, Kota",Private College,Secondary,Primary,5000-10000,English,97.23272583605554,95.0,86.00943305,92.237646,97.22724058,Pending,No,Not_Received,No,Limited,Regular,Low_Risk,C-38221,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00038,College,C-54118,Rajasthan,2024-25,Jaipur,19,Male,Rural,ST,Postgraduate,Bachelor of Commerce (BCom),"Amity University, Jaipur",Government College,Higher_Secondary,Higher_Secondary,10000-20000,Hindi,80.63886840835322,74.9,64.12108308,74.73218351,75.00938598,Up_to_Date,No,Not_Received,No,Active,Occasional,Low_Risk,C-54118,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00039,College,C-23396,Rajasthan,2024-25,Bikaner,20,Female,Urban,OBC,Undergraduate,Bachelor of Arts (BA),"University of Rajasthan, Jaipur",Government College,Secondary,Primary,20000-50000,English,86.82457199888827,77.6,67.74503767,79.24168749,77.48281766,Up_to_Date,Yes,Received,No,Active,Regular,Low_Risk,C-23396,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00040,College,C-22156,Rajasthan,2024-25,Kota,20,Female,Rural,OBC,Undergraduate,Bachelor of Science (BSc),"University of Rajasthan, Jaipur",Private College,Primary,Graduate,Below_5000,Hindi,95.0638182772545,95.0,98.0,91.39696019,90.71822664,Pending,No,Received,No,Active,Regular,Medium_Risk,C-22156,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00041,College,C-59797,Rajasthan,2024-25,Jaipur,18,Female,Urban,OBC,Postgraduate,Bachelor of Education (BEd),"Rajasthan Technical University, Kota",Government Aided College,Higher_Secondary,Graduate,10000-20000,English,83.1758038237945,88.8,83.42246569,95.21570224,85.53609952,Up_to_Date,Yes,Not_Received,No,Limited,Regular,Low_Risk,C-59797,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00042,College,C-22676,Rajasthan,2024-25,Kota,21,Female,Urban,OBC,Undergraduate,Bachelor of Education (BEd),"Manipal University, Jaipur",Government College,Graduate,Primary,20000-50000,English,100.0,73.1,62.08915054,71.85076845,75.66425627,Up_to_Date,No,Not_Received,No,Active,Regular,Low_Risk,C-22676,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00043,College,C-57052,Rajasthan,2024-25,Jaipur,18,Female,Urban,OBC,Undergraduate,Bachelor of Science (BSc),"Mohan Lal Sukhadia University, Udaipur",Private College,Illiterate,Illiterate,Below_5000,Hindi,84.0452364485322,84.4,79.9520304,79.6736654,76.08783689,Pending,Yes,Received,No,Active,Regular,Medium_Risk,C-57052,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00044,College,C-55082,Rajasthan,2024-25,Barmer,24,Female,Urban,OBC,Undergraduate,Bachelor of Arts (BA),"Mohan Lal Sukhadia University, Udaipur",Government College,Upper_Primary,Secondary,20000-50000,Hindi,58.26599263436481,35.2,32.29115575,36.5577536,38.7583243,Up_to_Date,Yes,Received,No,Limited,Occasional,Medium_Risk,C-55082,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00045,College,C-89131,Rajasthan,2024-25,Jodhpur,18,Male,Rural,SC,Undergraduate,Bachelor of Arts (BA),"Rajasthan Technical University, Kota",Private College,Literate_No_Formal,Upper_Primary,Below_5000,English,91.32043277003878,95.0,96.14730619,100.0,92.6689576,Up_to_Date,No,Not_Received,No,Active,Regular,Low_Risk,C-89131,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00046,College,C-44671,Rajasthan,2024-25,Udaipur,19,Female,Rural,General,Undergraduate,Bachelor of Commerce (BCom),"Jai Narain Vyas University, Jodhpur",Private College,Illiterate,Illiterate,10000-20000,English,89.89185960598196,87.3,88.30760817,89.3109634,92.25334245,Pending,No,Not_Received,No,Active,Regular,Medium_Risk,C-44671,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00047,College,C-15695,Rajasthan,2024-25,Jodhpur,18,Male,Rural,OBC,Undergraduate,Bachelor of Education (BEd),"University of Rajasthan, Jaipur",Constituent College,Secondary,Secondary,20000-50000,English,100.0,77.7,70.07455549,75.52286624,83.46656074,Up_to_Date,Yes,Received,No,Active,Regular,Low_Risk,C-15695,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00048,College,C-70217,Rajasthan,2024-25,Ajmer,25,Female,Rural,OBC,Undergraduate,Bachelor of Arts (BA),"Central University of Rajasthan, Ajmer",Private College,Higher_Secondary,Illiterate,10000-20000,English,100.0,95.0,98.0,85.83523186,84.96149592,Pending,No,Not_Received,Yes,Active,Regular,Medium_Risk,C-70217,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00049,College,C-80284,Rajasthan,2024-25,Ajmer,20,Female,Rural,SC,Postgraduate,Master of Science (MSc),"Rajasthan University of Health Sciences, Jaipur",Government College,Illiterate,Higher_Secondary,5000-10000,English,88.59365997581257,80.1,73.98645173,78.78352607,76.61051542,Pending,Yes,Not_Received,No,Limited,Regular,Low_Risk,C-80284,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00050,College,C-26361,Rajasthan,2024-25,Jaipur,20,Female,Rural,OBC,Undergraduate,Bachelor of Arts (BA),"Rajasthan Technical University, Kota",Private College,Higher_Secondary,Illiterate,Below_5000,Hindi,82.92962233389945,66.5,64.24978931,67.90956875,61.36683387,Pending,No,Received,No,Active,Regular,Medium_Risk,C-26361,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00051,College,C-59615,Rajasthan,2024-25,Dausa,18,Male,Rural,OBC,Postgraduate,Master of Business Administration (MBA),"Central University of Rajasthan, Ajmer",Private College,Higher_Secondary,Illiterate,20000-50000,Hindi,68.44488018744119,72.1,76.59419256,69.77451465,61.22363221,Up_to_Date,Yes,Not_Received,No,Limited,Occasional,Low_Risk,C-59615,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00052,College,C-20328,Rajasthan,2024-25,Sikar,21,Male,Urban,General,Undergraduate,Bachelor of Commerce (BCom),"National Law University, Jodhpur",Self-Financing College,Graduate,Literate_No_Formal,5000-10000,Hindi,69.65281394370449,73.0,66.86542877,63.00769217,66.80480034,Pending,No,Not_Received,Yes,Limited,Regular,Medium_Risk,C-20328,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00053,College,C-82357,Rajasthan,2024-25,Bundi,19,Male,Urban,OBC,Postgraduate,Master of Science (MSc),"Jai Narain Vyas University, Jodhpur",Private College,Literate_No_Formal,Graduate,Below_5000,Hindi,89.92783744915633,79.1,73.54518861,73.99660766,93.74753507,Pending,No,Not_Received,No,Active,Regular,Medium_Risk,C-82357,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00054,College,C-48427,Rajasthan,2024-25,Baran,22,Male,Rural,General,Undergraduate,Bachelor of Science (BSc),"Mohan Lal Sukhadia University, Udaipur",Private College,Graduate,Secondary,10000-20000,Hindi,100.0,91.7,95.4333444,100.0,95.35705938,Pending,No,Not_Received,No,Limited,Regular,Low_Risk,C-48427,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00055,College,C-92397,Rajasthan,2024-25,Ajmer,19,Male,Urban,OBC,Postgraduate,Bachelor of Technology (BTech),"University of Rajasthan, Jaipur",Private College,Primary,Higher_Secondary,5000-10000,English,100.0,85.8,77.93813459,94.40400602,97.30372781,Up_to_Date,No,Not_Received,No,Active,Occasional,Low_Risk,C-92397,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00056,College,C-91070,Rajasthan,2024-25,Bundi,18,Female,Rural,General,Undergraduate,Bachelor of Arts (BA),"University of Rajasthan, Jaipur",Government College,Upper_Primary,Primary,Below_5000,English,84.68452327575424,73.6,69.52166381,68.28016498,78.57459064,Up_to_Date,No,Not_Received,No,Active,Occasional,Low_Risk,C-91070,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00057,College,C-57400,Rajasthan,2024-25,Jaipur,18,Female,Rural,OBC,Postgraduate,Bachelor of Arts (BA),"National Law University, Jodhpur",Private College,Illiterate,Primary,Below_5000,English,89.31235472957896,70.2,73.64593742,74.23654072,65.74894103,Pending,No,Received,No,Active,Occasional,Medium_Risk,C-57400,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
